SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
265,14.336,28,10,protocol,7.5,670,8096,12.0836,1233,833,0.675588,0.556046,0.489168,0.462093,0.431985,0.397404,0.354063,0.354063,0.354063,0.354063,0.0991012
266,14.336,28,10,protocol,7.5,670,8359,12.4761,1197,887,0.741019,0.606338,0.526044,0.489993,0.448677,0.413417,0.361893,0.361893,0.361893,0.361893,0.0989977
267,12.8,25,10,protocol,7.5,670,8341,12.4493,1196,850,0.710702,0.58658,0.513075,0.481258,0.447081,0.411609,0.359108,0.359108,0.359108,0.359108,0.0989045
268,12.288,24,10,protocol,7.5,670,8293,12.3776,1306,932,0.713629,0.582962,0.510891,0.476023,0.443185,0.408429,0.356474,0.356474,0.356474,0.356474,0.0988113
269,12.288,24,10,protocol,7.5,670,8210,12.2537,1410,1015,0.719858,0.600678,0.515968,0.474817,0.43783,0.402532,0.354981,0.354981,0.354981,0.354981,0.0987184
270,11.776,23,10,protocol,7.5,670,8629,12.8791,1407,1004,0.713575,0.604465,0.536681,0.494453,0.457191,0.423092,0.372952,0.372952,0.372952,0.372952,0.0986314
271,2.048,4,10,protocol,7.5,670,3872,5.7791,1262,539,0.4271,0.308578,0.25911,0.235461,0.21343,0.190658,0.166681,0.166681,0.166681,0.166681,0.0992652
272,12.8,25,10,protocol,7.5,670,6215,9.27612,1189,786,0.66106,0.477028,0.408246,0.365227,0.333473,0.30449,0.266384,0.266384,0.266384,0.266384,0.100096
273,16.896,33,10,protocol,7.5,670,8128,12.1313,1289,912,0.707525,0.569296,0.504638,0.46139,0.427631,0.395643,0.347722,0.347722,0.347722,0.347722,0.0999675
274,13.312,26,10,protocol,7.5,670,8855,13.2164,1243,881,0.708769,0.579166,0.532893,0.497782,0.464013,0.429172,0.378467,0.378467,0.378467,0.378467,0.0998513
275,12.288,24,10,protocol,7.5,670,8094,12.0806,1226,884,0.721044,0.565599,0.495121,0.457014,0.424572,0.392087,0.345809,0.345809,0.345809,0.345809,0.099727
276,12.288,24,10,protocol,7.5,670,8181,12.2104,1247,899,0.72093,0.573523,0.517534,0.471182,0.434436,0.396576,0.347241,0.347241,0.347241,0.347241,0.099605
277,12.288,24,10,protocol,7.5,670,8031,11.9866,1255,847,0.6749,0.523896,0.474091,0.44587,0.420586,0.388443,0.341411,0.341411,0.341411,0.341411,0.0994844
278,11.776,23,10,protocol,7.5,670,8201,12.2403,1226,888,0.724307,0.573479,0.501948,0.460822,0.428458,0.394525,0.347824,0.347824,0.347824,0.347824,0.0993673
279,10.24,20,10,protocol,7.5,670,8365,12.4851,1192,878,0.736577,0.578257,0.512521,0.46993,0.440024,0.402922,0.353939,0.353939,0.353939,0.353939,0.0992564
280,10.24,20,10,protocol,7.5,670,8228,12.2806,1153,898,0.778838,0.580054,0.504675,0.464288,0.431766,0.395873,0.347716,0.347716,0.347716,0.347716,0.0991463
281,10.24,20,10,protocol,7.5,670,7785,11.6194,1169,861,0.736527,0.548364,0.465901,0.429301,0.402074,0.370877,0.328634,0.328634,0.328634,0.328634,0.0990402
282,10.24,20,10,protocol,7.5,670,8095,12.0821,1158,861,0.743523,0.57255,0.48488,0.448198,0.417212,0.381895,0.339898,0.339898,0.339898,0.339898,0.0989339
283,9.728,19,10,protocol,7.5,670,7962,11.8836,1160,858,0.739655,0.55852,0.473229,0.439957,0.410802,0.377176,0.333808,0.333808,0.333808,0.333808,0.0988351
284,8.192,16,10,protocol,7.5,670,8405,12.5448,1096,792,0.722628,0.573014,0.495297,0.457989,0.42633,0.394958,0.351688,0.351688,0.351688,0.351688,0.0987442
285,8.192,16,10,protocol,7.5,670,7905,11.7985,1044,773,0.740421,0.576613,0.473769,0.436865,0.407809,0.37131,0.329375,0.329375,0.329375,0.329375,0.0986498
286,2.048,4,10,protocol,7.5,670,3621,5.40448,1128,438,0.388298,0.281455,0.223912,0.2061,0.192539,0.170231,0.150131,0.150131,0.150131,0.150131,0.0992839
287,14.336,28,10,protocol,7.5,670,7329,10.9388,1168,777,0.66524,0.517991,0.438002,0.403131,0.377293,0.342624,0.304398,0.304398,0.304398,0.304398,0.0999736
